Ticker,P/E Ratio,P/E Percentile,P/B Ratio,P/B Percentile,P/S Ratio,P/S Percentile,D/E Ratio,D/E Percentile,% Change in Revenue (1-Year),1 Year Revenue Change Percentile,% Change in Revenue (3-Year),3 Year Revenue Change Percentile,% Change in EBITDA (1-Year),1 Year EBITDA Change Percentile,% Change in EBITDA (3-Year),3 Year EBITDA Change Percentile,Value Score,Growth Score,Total Score
CNC,55.7,13.663366336633658,1.5,87.82178217821782,0.3,98.81188118811882,0.69,58.415841584158414,48.86989375527539,98.21782178217822,129.66185771567936,97.82178217821782,67.7828692280578,95.24752475247524,172.0,97.22772277227723,64.67821782178217,97.12871287128712,90.63861386138615
LHX,32.3,46.336633663366335,2.3,73.86138613861387,2.6,61.48514851485149,0.39,79.20792079207921,167.51948242905453,100.0,208.37288135593215,99.60396039603961,70.3896103896104,95.64356435643565,89.04899135446685,92.47524752475248,65.22277227722772,96.93069306930693,90.5891089108911
VRTX,26.8,55.64356435643565,5.7,41.08910891089109,8.0,19.5049504950495,0.1,96.93069306930693,49.07518616382416,98.41584158415841,149.3370831659301,98.61386138613861,110.51282051282053,97.62376237623762,3088.349514563107,99.8019801980198,53.29207920792079,98.61386138613861,89.54950495049505
PKI,17.8,77.72277227722772,4.9,46.336633663366335,4.3,40.2970297029703,0.6,65.44554455445544,31.17198335644937,95.64356435643565,67.61187416925122,92.27722772277228,133.59223300970874,98.21782178217822,169.73094170403587,97.02970297029702,57.45049504950495,95.79207920792079,88.12376237623762
DHI,9.7,93.76237623762376,2.5,71.2871287128713,1.4,81.58415841584159,0.32,83.96039603960396,15.44932643665094,86.73267326732673,44.14165069902774,85.74257425742574,40.67234848484848,91.08910891089108,82.15818516247701,91.48514851485149,82.64851485148515,88.76237623762376,87.53960396039605
IR,50.1,17.821782178217816,2.3,73.86138613861387,3.7,45.94059405940594,0.41,77.72277227722772,100.24469820554648,99.60396039603961,106.73684210526316,97.22772277227723,29.475982532751093,86.93069306930693,193.5643564356436,98.01980198019803,53.836633663366335,95.44554455445545,87.12376237623764
FISV,65.3,9.900990099009903,2.3,73.86138613861387,4.8,37.32673267326733,0.64,62.277227722772274,45.79365858447041,98.01980198019803,160.7443820224719,98.81188118811882,58.71531025880885,94.45544554455445,158.76970005083882,96.43564356435644,45.84158415841584,96.93069306930693,86.71287128712872
GPN,58.7,12.178217821782184,1.9,79.10891089108911,6.4,27.029702970297024,0.38,80.1980198019802,51.14006514657981,98.61386138613861,86.76729559748428,95.44554455445545,50.02939447383892,92.87128712871286,150.44160942100098,95.84158415841584,49.62871287128713,95.6930693069307,86.48019801980199
AMD,39.8,36.23762376237624,19.3,9.900990099009903,10.2,14.356435643564353,0.08,97.42574257425743,45.045312732134896,97.82178217821782,83.20510414711954,94.85148514851485,131.49171270718233,98.01980198019803,394.3952802359882,99.00990099009901,39.48019801980198,97.42574257425743,85.83663366336634
TMUS,44.5,31.980198019801975,2.6,69.70297029702971,2.2,66.33663366336634,1.43,30.099009900990097,52.00008889283968,98.81188118811882,68.44892128854299,93.06930693069307,65.21774324105553,94.85148514851485,88.71116863905326,92.27722772277228,49.52970297029703,94.75247524752476,85.70792079207921
LH,10.2,92.37623762376238,2.8,67.22772277227722,1.8,73.26732673267327,0.56,67.52475247524752,20.977931631328428,90.6930693069307,33.885643137630495,78.61386138613861,58.65834633385335,94.25742574257426,60.3258013662638,86.33663366336634,75.0990099009901,87.47524752475248,85.00000000000001
ARE,30.8,48.118811881188115,2.2,75.14851485148515,14.1,8.019801980198025,0.63,63.26732673267327,23.18745917700849,92.27722772277228,67.64444444444445,92.47524752475248,51.247771836007125,93.06930693069307,129.32432432432432,95.04950495049505,48.63861386138614,93.21782178217822,84.3019801980198
FOX,26.0,57.42574257425743,1.9,79.10891089108911,2.8,58.31683168316832,0.25,88.01980198019803,10.66169787311398,81.78217821782178,43.16792097836312,84.95049504950495,32.3499491353001,87.92079207920793,130.4694419840567,95.24752475247524,70.71782178217822,87.47524752475248,84.12376237623764
TMO,25.1,60.396039603960396,5.8,40.2970297029703,5.6,31.683168316831683,0.53,68.8118811881188,26.137342416412185,94.45544554455445,54.02046084711731,89.5049504950495,43.85590203616688,91.88118811881188,99.90106846062524,93.46534653465346,50.29702970297029,92.32673267326732,83.92079207920791
TTWO,27.9,53.26732673267327,5.0,45.94059405940594,5.4,32.871287128712865,0.05,98.01980198019803,9.19391388798964,79.00990099009901,88.12046848856664,95.64356435643565,31.37535816618911,87.32673267326733,210.84745762711864,98.21782178217822,57.524752475247524,90.04950495049505,83.54455445544554
TER,24.8,61.18811881188119,8.4,29.900990099009903,6.8,24.356435643564353,0.17,93.06930693069307,35.991285403050114,97.02970297029702,46.045858680393074,86.53465346534654,57.01492537313433,94.05940594059406,60.85626911314985,86.53465346534654,52.12871287128713,91.03960396039604,83.25742574257426
CRM,52.5,15.742574257425744,5.7,41.08910891089109,10.5,13.069306930693074,0.13,95.74257425742574,24.29523920926424,93.66336633663366,102.78625954198472,96.83168316831683,27.05927636643572,85.14851485148515,216.79462571976967,98.61386138613861,41.410891089108915,93.56435643564356,83.13366336633663
LEN,9.8,93.26732673267327,1.7,82.97029702970298,1.3,83.76237623762376,0.35,81.98019801980197,1.0287511230907458,54.257425742574256,77.83488850229323,94.45544554455445,26.948687818253035,84.75247524752476,156.61124307205068,96.03960396039604,85.49504950495049,82.37623762376238,83.0
AMCR,21.2,70.6930693069307,3.9,53.86138613861386,1.5,79.70297029702971,1.49,28.910891089108915,31.82491012899133,95.84158415841584,37.13154421469424,81.58415841584159,33.86327503974563,88.7128712871287,74.68879668049793,90.0990099009901,58.29207920792079,89.05940594059406,82.90594059405942
PHM,8.7,95.24752475247524,2.0,77.52475247524752,1.2,86.03960396039604,0.34,82.47524752475248,8.058356995985509,76.63366336633663,28.72973288230491,75.24752475247524,29.053084648493545,85.94059405940594,81.71717171717172,91.2871287128713,85.32178217821782,82.27722772277228,82.88613861386139
TFC,16.7,80.5940594059406,1.2,93.46534653465346,3.3,50.79207920792079,0.62,63.86138613861386,80.6572246976448,99.4059405940594,100.6273747459574,96.43564356435644,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,72.17821782178218,85.29702970297029,82.67326732673267
BIO,5.6,99.3069306930693,1.9,79.10891089108911,7.9,20.0,0.02,98.91089108910892,10.121107266435986,81.18811881188118,17.87037037037037,60.0,109.50806118230672,97.42574257425743,1791.0447761194027,99.60396039603961,74.33168316831683,84.55445544554456,82.50990099009901
AMZN,58.8,11.881188118811878,14.9,14.45544554455445,3.9,43.46534653465346,0.93,46.93069306930693,37.62343060437328,97.42574257425743,117.0532873061743,97.62376237623762,36.69476783085776,89.9009900990099,216.6129432184478,98.41584158415841,29.183168316831683,95.84158415841584,82.50990099009901
DGX,8.7,95.24752475247524,3.0,63.86138613861386,1.8,73.26732673267327,0.76,54.45544554455446,22.14600051773233,91.68316831683168,22.41535867168245,67.72277227722772,52.11356466876972,93.46534653465346,65.93255333792155,87.52475247524752,71.70792079207921,85.0990099009901,82.42079207920793
QRVO,24.3,63.06930693069307,4.7,47.524752475247524,5.2,34.851485148514854,0.37,81.1881188118812,23.95801173201605,92.87128712871286,35.00336247478144,79.60396039603961,44.91341991341991,92.07920792079207,69.27939317319847,88.51485148514851,56.65841584158416,88.26732673267327,81.94554455445545
RE,12.4,87.92079207920793,1.1,95.74257425742574,1.0,90.0,0.15,94.45544554455445,15.235086866723362,86.53465346534654,43.53813559322034,85.34653465346534,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,92.02970297029702,79.3069306930693,81.85148514851485
REGN,17.1,79.20792079207921,5.4,42.87128712871287,7.5,21.584158415841586,0.13,95.74257425742574,8.063080249268726,76.83168316831683,44.70367847411444,85.94059405940594,53.67041198501873,93.66336633663366,82.43663850600267,91.68316831683168,59.851485148514854,87.02970297029702,81.5940594059406
ETSY,52.3,16.039603960396036,43.5,3.7623762376237693,12.1,10.89108910891089,4.36,6.138613861386133,111.00244498777504,99.8019801980198,291.3832199546485,100.0,204.5751633986928,99.20792079207921,556.3380281690141,99.20792079207921,9.207920792079207,99.55445544554456,81.4851485148515
DG,21.7,69.4059405940594,8.9,28.51485148514851,1.7,75.74257425742574,2.02,20.297029702970292,21.59328385097644,91.2871287128713,43.78168804056069,85.54455445544555,47.09654435340221,92.27722772277228,71.39892071398921,88.91089108910892,48.49009900990099,89.50495049504951,81.3019801980198
MKTX,64.9,10.099009900990097,18.2,10.297029702970292,26.5,1.386138613861391,0.09,97.22772277227723,34.833659491193735,96.83168316831683,73.55163727959699,93.86138613861387,47.183098591549296,92.47524752475248,89.14027149321268,92.67326732673267,29.752475247524753,93.96039603960396,81.11881188118812
NOW,700.6,0.5940594059405981,36.0,4.752475247524757,23.4,2.277227722772281,0.58,66.33663366336634,30.60693641618497,95.44554455445545,133.781686497672,98.21782178217822,47.57834757834758,92.67326732673267,3353.333333333333,100.0,18.490099009900995,96.58415841584159,80.96534653465346
NVDA,97.6,4.950495049504951,27.4,6.039603960396036,27.0,0.9900990099009874,0.35,81.98019801980197,52.729437625938814,99.00990099009901,71.65946057236977,93.46534653465346,67.234792829856,95.04950495049505,64.67013888888889,87.32673267326733,23.490099009900987,93.7128712871287,79.66831683168316
CI,9.3,94.65346534653466,1.5,87.82178217821782,0.4,97.92079207920793,0.65,61.28712871287129,4.445080426425919,67.12871287128714,285.85399846212994,99.8019801980198,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,85.42079207920793,78.06930693069307,79.53960396039605
SIVB,16.3,80.99009900990099,3.3,59.504950495049506,5.9,30.297029702970292,0.18,92.37623762376238,20.245398773006134,89.9009900990099,101.95775373518804,96.63366336633663,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,65.79207920792079,82.97029702970298,79.53465346534654
PGR,10.3,91.98019801980197,3.1,62.277227722772274,1.2,86.03960396039604,0.27,86.83168316831683,9.33381199035848,79.60396039603961,59.00208830548927,90.6930693069307,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,81.78217821782178,78.91089108910892,79.48514851485149
PYPL,68.5,9.306930693069305,15.8,12.574257425742573,14.0,8.316831683168317,0.43,75.94059405940594,20.71798334458699,90.29702970297029,63.84603635252788,91.48514851485149,60.57142857142858,94.65346534653466,110.93342036553524,93.86138613861387,26.534653465346533,92.57425742574257,79.36633663366337
GS,7.0,97.82178217821782,1.4,89.70297029702971,2.5,63.26732673267327,2.73,9.900990099009903,33.91536935745627,96.43564356435644,51.46334001835549,88.31683168316832,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,65.17326732673267,82.52475247524752,79.05445544554456
CTLT,40.5,35.24752475247524,5.6,41.78217821782178,5.4,32.871287128712865,0.85,51.386138613861384,22.875297855440827,91.88118811881188,49.10843373493976,87.72277227722772,28.000000000000004,85.54455445544555,72.04301075268818,89.3069306930693,40.321782178217816,88.61386138613861,78.95544554455445
FIS,925.1,0.19801980198019464,1.7,82.97029702970298,6.1,29.10891089108911,0.33,83.16831683168317,21.474886286654407,91.08910891089108,37.58632028937849,82.37623762376238,33.05606900800986,88.31683168316832,55.0251256281407,83.76237623762377,48.86138613861387,86.38613861386139,78.88118811881188
HUM,22.0,67.72277227722773,3.6,56.73267326732673,0.7,94.45544554455445,0.41,77.72277227722772,18.904882258661075,89.10891089108911,43.49880037941488,85.14851485148515,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,74.15841584158416,79.9009900990099,78.75247524752476
NFLX,54.4,15.049504950495049,16.8,10.693069306930695,8.7,16.930693069306926,1.08,39.7029702970297,24.012700932724748,93.06930693069307,113.76892157701188,97.42574257425743,29.147235176548968,86.13861386138613,116.3202678197796,94.05940594059406,20.59405940594059,92.67326732673267,78.25742574257426
FTNT,97.1,5.148514851485146,46.7,3.5643564356435604,17.1,5.148514851485146,0.94,46.13861386138614,20.315398886827456,90.0990099009901,73.51170568561874,93.66336633663366,37.93103448275862,90.29702970297029,237.34939759036143,98.81188118811882,14.999999999999998,93.21782178217822,77.57425742574257
FDX,14.2,84.85148514851485,3.1,62.277227722772274,0.9,92.07920792079207,1.41,30.39603960396039,21.298235982489853,90.89108910891089,28.279602750190985,74.45544554455445,89.0530557421088,96.63366336633663,40.64451661254059,58.21782178217822,67.4009900990099,80.04950495049505,77.51980198019803
POOL,37.1,40.198019801980195,22.3,7.821782178217816,4.1,41.881188118811885,0.66,60.59405940594059,23.03125,92.07920792079207,41.212338593974174,83.36633663366337,32.88409703504043,88.11881188118812,59.03225806451613,85.94059405940594,37.62376237623762,87.37623762376238,77.42574257425743
MPWR,110.4,4.158415841584159,19.6,9.5049504950495,21.2,3.2673267326732685,2.152247899159664,16.23762376237623,34.394904458598724,96.63366336633663,79.19320594479831,94.65346534653466,55.00000000000001,93.86138613861387,95.78947368421052,93.06930693069307,8.29207920792079,94.55445544554456,77.3019801980198
ANTM,22.2,67.12871287128712,2.6,69.70297029702971,0.8,93.06930693069307,0.64,62.277227722772274,16.94030495235719,87.92079207920793,35.34912648963227,80.0,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,73.04455445544555,78.31683168316832,77.26237623762377
MSFT,36.0,41.881188118811885,15.3,13.861386138613867,13.1,9.702970297029708,0.42,76.73267326732673,17.531727441177498,88.11881188118812,52.3088075389634,88.7128712871287,24.42307411250603,84.15841584158416,72.0991347942104,89.5049504950495,35.54455445544555,87.62376237623762,77.20792079207921
TSLA,370.3,0.7920792079207928,28.5,5.742574257425744,19.4,3.7623762376237693,0.37,81.1881188118812,28.309870615998044,95.04950495049505,168.1860702440684,99.20792079207921,94.29622815087396,96.83168316831683,45.58340659484759,70.5940594059406,22.871287128712876,90.42079207920793,76.91089108910892
PBCT,21.9,68.51485148514851,0.9,97.72277227722772,3.4,49.306930693069305,0.21,91.48514851485149,8.138903960933261,77.02970297029702,37.16448726772196,81.78217821782178,24.134621417073618,74.75247524752476,45.58340659484759,70.5940594059406,76.75742574257426,76.03960396039604,76.18316831683168
GNRC,49.7,18.21782178217822,15.4,13.267326732673268,8.1,19.10891089108911,0.62,63.86138613861386,12.749546279491833,84.15841584158416,48.6244019138756,87.52475247524752,29.85781990521327,87.12871287128714,83.27759197324414,91.88118811881188,28.613861386138616,87.67326732673267,75.86138613861385
